SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;YIELDATWAP;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
RU000A100PW6;СберИОС126;СберИОС 001Р-126R 2Y ESAA 5%;Биржевые облигации;RU000A100PW6;4B0212401481B001P;3;1000,0;RUB;779730;0;0;TQCB;Т+: Облигации - безадрес.;02.09.2021;;27.08.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;102,699;1026,99;;2053,98;;2053,98;;2053,98;100,0;;;;;;
RU000A100PX4;СберИОС123;СберИОС 001Р-123R 5Y DEF 10%;Биржевые облигации;RU000A100PX4;4B0212301481B001P;3;1000,0;RUB;2785260;0;0;TQCB;Т+: Облигации - безадрес.;05.09.2024;;30.08.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;85,491;854,91;;1709,82;;1709,82;;1709,82;100,0;;;;;;
RU000A100Q35;ПР-Лиз 1P3;ПР-Лизинг ООО БО 001Р-03;Биржевые облигации;RU000A100Q35;4B02-03-00371-R-001P;3;1000,0;RUB;400000;0;0;TQCB;Т+: Облигации - безадрес.;07.07.2026;;13.08.2019;0;0;0;9,13;;;;;"Общество с ограниченной ответственностью ""Лизинговая компания Простые решения""";0278181110;1;102,849;1035,72;;2071,44;;2071,44;;2071,44;100,0;;;;;;
RU000A100Q50;Самолет1P5;ГК Самолет БО-П05;Биржевые облигации;RU000A100Q50;4B02-05-16493-A-001P;3;1000,0;RUB;280000;0;0;TQCB;Т+: Облигации - безадрес.;31.07.2029;;13.08.2019;0;0;0;7,38;;;;;"публичное акционерное общество ""Группа компаний ""Самолет""";9731004688;1;100,179;1005,08;;2010,16;;2010,16;;2010,16;100,0;;;;;;
RU000A100Q76;Каскад1Р01;Каскад 001Р-01;Биржевые облигации;RU000A100Q76;4B02-01-00453-R-001P;3;1000,0;RUB;300000;0;0;TQCB;Т+: Облигации - безадрес.;10.08.2022;;14.08.2019;0;0;0;49,83;;;;;"Общество с ограниченной ответственностью ""Каскад""";6164302675;1;88,99;896,06;;1792,12;;1792,12;;1792,12;100,0;;;;;;
RU000A100Q92;ЮАИЗ 1-002;ЮАИЗ БО 1-002;Биржевые облигации;RU000A100Q92;4B02-02-34339-E-001P;3;1000,0;RUB;250000;0;0;TQCB;Т+: Облигации - безадрес.;13.08.2024;;15.08.2019;0;0;0;9,66;;;;;"Акционерное общество ""Южноуральский арматурно-изоляторный завод""";6164235725;1;100,789;1011,73;;2023,46;;2023,46;;2023,46;100,0;;;;;;
RU000A100QA0;Самолет1P6;ГК Самолет БО-П06;Биржевые облигации;RU000A100QA0;4B02-06-16493-A-001P;3;1000,0;RUB;500000;0;0;TQCB;Т+: Облигации - безадрес.;01.08.2029;;14.08.2019;0;0;0;8,55;;;;;"публичное акционерное общество ""Группа компаний ""Самолет""";9731004688;1;101,089;1014,79;;2029,58;;2029,58;;2029,58;100,0;;;;;;
RU000A100R34;СберИОС129;СберИОС 001Р-129R 42M CDX 115%;Биржевые облигации;RU000A100R34;4B0212701481B001P;3;1000,0;RUB;451527;0;0;TQCB;Т+: Облигации - безадрес.;01.03.2023;;22.08.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;109,588;1095,88;;2191,76;;2191,76;;2191,76;100,0;;;;;;
RU000A100R83;СберИОС132;СберИОС 001Р-132R 42m E.V. 105;Биржевые облигации;RU000A100R83;4B0212801481B001P;3;1000,0;RUB;83625;0;0;TQCB;Т+: Облигации - безадрес.;10.03.2023;;23.08.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;133,175;1331,75;;2663,5;;2663,5;;2663,5;100,0;;;;;;
RU000A100R91;СберИОС131;СберИОС 001Р-131R 42m РуАк 102;Биржевые облигации;RU000A100R91;4B0212901481B001P;3;1000,0;RUB;159056;0;0;TQCB;Т+: Облигации - безадрес.;10.03.2023;;23.08.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;111,988;1119,88;;2239,76;;2239,76;;2239,76;100,0;;;;;;
RU000A100RG5;ЕврХимБ1Р6;ЕвроХим МХК АО БО-001Р-06;Биржевые облигации;RU000A100RG5;4B02-06-31153-H-001P;2;1000,0;RUB;13000000;0;0;TQCB;Т+: Облигации - безадрес.;18.08.2023;;23.08.2019;0;0;0;6,11;;;;;"Акционерное общество ""Минерально-химическая компания ""ЕвроХим""";7721230290;1;103,999;1041,28;885,088;1197,472;853,85;1228,71;822,611;1259,949;15,0;260000;18,0;1300000;21,0;;
RU000A100RR2;СберИОС130;СберИОС 001Р-130R 4Y O.G. 103%;Биржевые облигации;RU000A100RR2;4B0213001481B001P;3;1000,0;RUB;327922;0;0;TQCB;Т+: Облигации - безадрес.;27.08.2023;;27.08.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;133,486;1334,86;;2669,72;;2669,72;;2669,72;100,0;;;;;;
RU000A100RS0;ТЕХЛиз 1P2;ТЕХНО Лизинг 001P-02;Биржевые облигации;RU000A100RS0;4B02-02-00455-R-001P;3;1000,0;RUB;200000;0;0;TQCB;Т+: Облигации - безадрес.;24.08.2022;;28.08.2019;0;0;0;11,99;;;;;"Общество с ограниченной ответственностью ""ТЕХНО Лизинг""";7723609647;1;102,089;1021,25;;2042,5;;2042,5;;2042,5;100,0;;;;;;
RU000A100S41;СберИОС135;СберИОС 001Р-135R GAZP_asn 100;Биржевые облигации;RU000A100S41;4B0213201481B001P;3;1000,0;RUB;809663;0;0;TQCB;Т+: Облигации - безадрес.;26.09.2022;;26.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;93,44;934,4;;1868,8;;1868,8;;1868,8;100,0;;;;;;
RU000A100SF5;МКБ П04;МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П04;Биржевые облигации;RU000A100SF5;4B020401978B001P;3;1000,0;RUB;350000;0;0;TQCB;Т+: Облигации - безадрес.;03.09.2022;;03.09.2019;0;0;0;;;;;;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";7734202860;1;98,719;1003,97;;2007,94;;2007,94;;2007,94;100,0;;;;;;
RU000A100SQ2;СберИОС127;СберИОС 001Р-127R 42M S&P_ROT;Биржевые облигации;RU000A100SQ2;4B0213301481B001P;3;1000,0;RUB;71203;0;0;TQCB;Т+: Облигации - безадрес.;15.03.2023;;05.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;93,591;935,91;;1871,82;;1871,82;;1871,82;100,0;;;;;;
RU000A100SZ3;ПочтаРБ1P6;Почта России (АО) БО-001P-06;Биржевые облигации;RU000A100SZ3;4B02-06-00005-T-001P;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;23.08.2029;;05.09.2019;0;0;0;5,39;;;;;"акционерное общество ""Почта России""";7724490000;1;103,189;1068,09;918,557;1217,623;886,515;1249,665;854,472;1281,708;14,0;100000;17,0;500000;20,0;;
RU000A100T32;СберИОС137;СберИОС 001Р-137R 2Y KIDS 4.5%;Биржевые облигации;RU000A100T32;4B0213501481B001P;3;1000,0;RUB;1105195;0;0;TQCB;Т+: Облигации - безадрес.;24.09.2021;;20.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;97,499;974,99;;1949,98;;1949,98;;1949,98;100,0;;;;;;
RU000A100TB2;ПНППК 1P01;ПНППК 001P-01;Биржевые облигации;RU000A100TB2;4B02-01-11698-E-001P;3;1000,0;RUB;250000;0;0;TQCB;Т+: Облигации - безадрес.;28.08.2029;;10.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Пермская научно-производственная приборостроительная компания""";5904000395;1;104,549;1069,3;;2138,6;;2138,6;;2138,6;100,0;;;;;;
RU000A100TF3;РУСАБрБ1P3;РУСАЛ Братск БО-001P-03;Биржевые облигации;RU000A100TF3;4B02-03-20075-F-001P;2;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;30.08.2029;;12.09.2019;0;0;0;7,01;;;;;"Публичное акционерное общество ""РУСАЛ Братский алюминиевый завод""";3803100054;1;101,879;1056,76;;2113,52;;2113,52;;2113,52;100,0;;;;;;
RU000A100TH9;Росбанк2P6;РОСБАНК БО-002P-06;Биржевые облигации;RU000A100TH9;4B020502272B002P;2;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;16.03.2023;;12.09.2019;0;0;0;;;;;;Публичное акционерное общество РОСБАНК;7730060164;1;103,221;1066,55;789,247;1343,853;757,251;1375,85;725,254;1407,846;26,0;300000;29,0;1500000;32,0;;
RU000A100TL1;Кузина1P01;Кузина БО-П01;Биржевые облигации;RU000A100TL1;4B02-01-00480-R-001P;3;10000,0;RUB;5490;0;0;TQCB;Т+: Облигации - безадрес.;26.08.2023;;16.09.2019;0;0;0;8,39;;;;;"Общество с ограниченной ответственностью ""Кузина""";5404373487;1;103,26;10399,97;;20799,94;;20799,94;;20799,94;100,0;;;;;;
RU000A100TP2;СберИОС146;СберИОС 001Р-146R 5Y ENTM 12;Биржевые облигации;RU000A100TP2;4B0213901481B001P;3;1000,0;RUB;4414358;0;0;TQCB;Т+: Облигации - безадрес.;04.10.2024;;30.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;96,7;967,0;;1934,0;;1934,0;;1934,0;100,0;;;;;;
RU000A100TS6;ТрансФ1P06;ТрансФин-М ПАО 001P-06;Биржевые облигации;RU000A100TS6;4B02-06-50156-A-001P;2;1000,0;RUB;4214000;0;0;TQCB;Т+: Облигации - безадрес.;03.09.2029;;16.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""ТрансФин-М""";7708797192;1;100,0;1033,7;;2067,4;;2067,4;;2067,4;100,0;;;;;;
RU000A100TU2;СберИОС133;СберИОС 001Р-133R 42M CDX 100%;Биржевые облигации;RU000A100TU2;4B0214001481B001P;3;1000,0;RUB;491934;0;0;TQCB;Т+: Облигации - безадрес.;27.03.2023;;17.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;106,488;1064,88;;2129,76;;2129,76;;2129,76;100,0;;;;;;
RU000A100TV0;СберИОС134;СберИОС 001Р-134R 4Y O.G. 92%;Биржевые облигации;RU000A100TV0;4B0213401481B001P;3;1000,0;RUB;221669;0;0;TQCB;Т+: Облигации - безадрес.;18.09.2023;;17.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;123,486;1234,86;;2469,72;;2469,72;;2469,72;100,0;;;;;;
RU000A100UG9;ХКФБанкБ06;ХКФ Банк БО-06;Биржевые облигации;RU000A100UG9;4B020600316B;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;13.09.2024;;20.09.2019;0;0;0;6,55;;;;;"Общество с ограниченной ответственностью ""Хоум Кредит энд Финанс Банк""";7735057951;1;102,839;1044,74;898,476;1191,004;867,134;1222,346;835,792;1253,688;14,0;100000;17,0;500000;20,0;;
RU000A100UT2;ПочтаРБ1P8;Почта России (АО) БО-001P-08;Биржевые облигации;RU000A100UT2;4B02-08-00005-T-001P;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;11.09.2029;;24.09.2019;0;0;0;;;;;;"акционерное общество ""Почта России""";7724490000;1;103,405;1065,46;916,296;1214,624;884,332;1246,588;852,368;1278,552;14,0;100000;17,0;500000;20,0;;
RU000A100UU0;РН БАНК1Р6;РН БАНК АО БО-001Р-06;Биржевые облигации;RU000A100UU0;4B020600170B001P;2;1000,0;RUB;7000000;0;0;TQCB;Т+: Облигации - безадрес.;26.09.2022;;24.09.2019;0;0;0;;;;;;"Акционерное общество ""РН Банк""";5503067018;1;102,573;1058,01;909,889;1206,131;878,148;1237,872;846,408;1269,612;14,0;140000;17,0;700000;20,0;;
RU000A100UY2;СберИОС144;СберИОС 001Р-144R 48m РуАк 105;Биржевые облигации;RU000A100UY2;4B0214301481B001P;3;1000,0;RUB;137221;0;0;TQCB;Т+: Облигации - безадрес.;25.09.2023;;24.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;111,288;1112,88;;2225,76;;2225,76;;2225,76;100,0;;;;;;
RU000A100V38;МоторТ1Р01;НПП Моторные технологии001Р-01;Биржевые облигации;RU000A100V38;4B02-01-00483-R-001P;3;1000,0;RUB;50000;0;0;TQCB;Т+: Облигации - безадрес.;21.09.2022;;25.09.2019;0;0;0;9,78;;;;;"Общество с ограниченной ответственностью Научно-производственное предприятие ""Моторные технологии""";5835115642;1;108,008;1106,38;;2212,76;;2212,76;;2212,76;100,0;;;;;;
RU000A100V46;ИКС5Фин1P6;ИКС 5 ФИНАНС 001P-06;Биржевые облигации;RU000A100V46;4B02-06-36241-R-001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;07.09.2034;;26.09.2019;0;0;0;;;;;;"Общество с ограниченной ответственностью ""ИКС 5 ФИНАНС""";7715630469;1;102,589;1057,11;;2114,22;;2114,22;;2114,22;100,0;;;;;;
RU000A100V61;ОбувьРо1Р1;Обувь России 001P-01;Биржевые облигации;RU000A100V61;4B02-01-00412-R-001P;3;1000,0;RUB;1500000;0;0;TQCB;Т+: Облигации - безадрес.;22.09.2022;;26.09.2019;0;0;0;11,01;;;;;"Общество с ограниченной ответственностью ""Обувь России""";5407249872;1;101,549;1036,2;;2072,4;;2072,4;;2072,4;100,0;;;;;;
RU000A100V79;Тинькофф3R;Тинькофф Банк БО 001Р-03R;Биржевые облигации;RU000A100V79;4B020302673B001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;12.09.2029;;25.09.2019;0;0;0;6,94;;;;;"Акционерное общество ""Тинькофф Банк""";7710140679;1;102,259;1057,62;909,553;1205,687;877,825;1237,415;846,096;1269,144;14,0;200000;17,0;1000000;20,0;;
RU000A100V87;СберИОС150;СберИОС 001Р-150R IMOEX_asn 10;Биржевые облигации;RU000A100V87;4B0214701481B001P;3;1000,0;RUB;411954;0;0;TQCB;Т+: Облигации - безадрес.;28.10.2022;;29.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;104,588;1045,88;;2091,76;;2091,76;;2091,76;100,0;;;;;;
RU000A100V95;СберИОС148;СберИОС 001Р-148R 18M ГМКН CS;Биржевые облигации;RU000A100V95;4B0214601481B001P;3;1000,0;RUB;92189;0;0;TQCB;Т+: Облигации - безадрес.;01.04.2021;;26.09.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;122,486;1224,86;;2449,72;;2449,72;;2449,72;100,0;;;;;;
RU000A100VB8;Сбер Sb13R;Сбербанк ПАО 001Р-SBER13;Биржевые облигации;RU000A100VB8;4B0214901481B001P;1;1000,0;RUB;25000000;1;0;TQCB;Т+: Облигации - безадрес.;24.09.2021;;27.09.2019;0;0;0;5,24;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;101,101;1040,56;874,07;1207,05;842,854;1238,266;811,637;1269,483;16,0;500000;19,0;2500000;22,0;;
RU000A100VD4;АйТеко1Р01;Ай-Теко 001Р-01;Биржевые облигации;RU000A100VD4;4B02-01-20488-H-001P;3;1000,0;RUB;800000;0;0;TQCB;Т+: Облигации - безадрес.;22.09.2022;;26.09.2019;0;0;0;;;;;;"Акционерное общество ""Ай-Теко""";7704160892;1;101,978;1035,75;;2071,5;;2071,5;;2071,5;100,0;;;;;;
RU000A100VG7;СУЭК-Ф1P3R;СУЭК-Финанс 001Р-03R;Биржевые облигации;RU000A100VG7;4B02-03-36393-R-001P;3;1000,0;RUB;21000000;0;0;TQCB;Т+: Облигации - безадрес.;13.09.2029;;26.09.2019;0;0;0;6,61;;;;;"Общество с ограниченной ответственностью ""СУЭК-Финанс""";7709851798;1;101,889;1050,53;903,456;1197,604;871,94;1229,12;840,424;1260,636;14,0;420000;17,0;2100000;20,0;;
RU000A100VL7;ОткрФКБИО2;ПАО ОТКРЫТИЕ ФК Банк БО-ИО02;Биржевые облигации;RU000A100VL7;4B020602209B001P;3;1000,0;RUB;100000;0;0;TQCB;Т+: Облигации - безадрес.;27.09.2021;;27.09.2019;0;0;0;;;;;;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1;95,99;959,9;;1919,8;;1919,8;;1919,8;100,0;;;;;;
RU000A100VQ6;НорНикБ1P1;ГМК Нор.никель БО-001P-01;Биржевые облигации;RU000A100VQ6;4B02-01-40155-F-001P;2;1000,0;RUB;25000000;1;0;TQCB;Т+: Облигации - безадрес.;24.09.2024;;01.10.2019;0;0;0;5,83;;;;;"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""";8401005730;1;104,948;1078,87;895,462;1262,278;863,096;1294,644;830,73;1327,01;17,0;500000;20,0;2500000;23,0;;
RU000A100VR4;ГПБ001P13P;ГПБ (АО) БО 001Р-13Р;Биржевые облигации;RU000A100VR4;4B021300354B001P;2;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;30.09.2023;;30.09.2019;0;0;0;6,07;;;;;"""Газпромбанк"" (Акционерное общество)";7744001497;1;103,669;1066,7;906,695;1226,705;874,694;1258,706;842,693;1290,707;15,0;100000;18,0;500000;21,0;;
RU000A100VS2;Атомстр 01;Атомстройкомплекс 01;Корпоративные облигации;RU000A100VS2;4-01-00313-R;3;1000,0;RUB;1000000;0;0;TQCB;Т+: Облигации - безадрес.;24.09.2024;;01.10.2019;0;0;0;8,05;;;;;"Общество с ограниченной ответственностью  ""Атомстройкомплекс-Строительство""";6685028774;1;102,199;1069,96;;2139,92;;2139,92;;2139,92;100,0;;;;;;
RU000A100VT0;СберИОС152;СберИОС 001Р-152R 2Y KIDS 4.5%;Биржевые облигации;RU000A100VT0;4B0215101481B001P;3;1000,0;RUB;1009360;0;0;TQCB;Т+: Облигации - безадрес.;22.10.2021;;17.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;98,869;988,69;;1977,38;;1977,38;;1977,38;100,0;;;;;;
RU000A100VV6;СберИОС153;СберИОС 001Р-153R 5Y DEF 10%;Биржевые облигации;RU000A100VV6;4B0215201481B001P;3;1000,0;RUB;4990214;0;0;TQCB;Т+: Облигации - безадрес.;23.10.2024;;17.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;87,411;874,11;;1748,22;;1748,22;;1748,22;100,0;;;;;;
RU000A100VX2;МБЭС 1P-01;Межд.Банк Эк.Сотруд. 001P-01;Биржевые облигации;RU000A100VX2;;3;1000,0;RUB;7000000;0;0;TQCB;Т+: Облигации - безадрес.;26.09.2029;;09.10.2019;0;0;0;;;;;;Международный Банк Экономического Сотрудничества;9909152102;1;102,536;1055,88;;2111,76;;2111,76;;2111,76;100,0;;;;;;
RU000A100VY0;ЭБИС Б1P01;ЭБИС БО-П01;Биржевые облигации;RU000A100VY0;4B02-01-00360-R-001P;3;1000,0;RUB;150000;0;0;TQCB;Т+: Облигации - безадрес.;27.09.2022;;01.10.2019;0;0;0;7,5;;;;;"Общество с ограниченной ответственностью ""ЭБИС""";5050116514;1;100,689;1030,73;;2061,46;;2061,46;;2061,46;100,0;;;;;;
RU000A100W60;ЕвропланБ3;АО ЛК Европлан БО-03;Биржевые облигации;RU000A100W60;4B02-03-56453-P;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;20.09.2029;;03.10.2019;0;0;0;7,57;;;;;"Акционерное общество ""Лизинговая компания ""Европлан""";9705101614;1;102,096;1056,4;;2112,8;;2112,8;;2112,8;100,0;;;;;;
RU000A100WA8;ЛСР БО 1Р4;Группа ЛСР ПАО БО 001Р-04;Биржевые облигации;RU000A100WA8;4B02-04-55234-E-001P;1;1000,0;RUB;7000000;0;0;TQCB;Т+: Облигации - безадрес.;27.09.2024;;04.10.2019;0;0;0;7,58;;;;;"Публичное акционерное общество ""Группа ЛСР""";7838360491;1;102,789;1040,7;;2081,4;;2081,4;;2081,4;100,0;;;;;;
RU000A100WC4;МКБ 1P1;МОСКОВСКИЙ КРЕДИТНЫЙ БАНК 1P1;Биржевые облигации;RU000A100WC4;4B020501978B001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;30.09.2022;;04.10.2019;0;0;0;6,57;;;;;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";7734202860;1;102,789;1061,29;912,709;1209,871;880,871;1241,709;849,032;1273,548;14,0;100000;17,0;500000;20,0;;
RU000A100WF7;Новосиб10;Новосибирск 35010;Муниципальные облигации;RU000A100WF7;RU35010NSB1;1;900,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;08.10.2026;;10.10.2019;0;0;0;6,88;;;;;Мэрия города Новосибирска;5406285846;1;102,889;930,321;;1860,642;;1860,642;;1860,642;100,0;;;;;;
RU000A100WT8;МКБ П05;МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П05;Биржевые облигации;RU000A100WT8;4B020601978B001P;3;1000,0;RUB;350000;0;0;TQCB;Т+: Облигации - безадрес.;10.10.2022;;10.10.2019;0;0;0;;;;;;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";7734202860;1;98,299;995,28;;1990,56;;1990,56;;1990,56;100,0;;;;;;
RU000A100WV4;СберИОС142;СберИОС 001Р-142R 48m E.V. 110;Биржевые облигации;RU000A100WV4;4B0215001481B001P;3;1000,0;RUB;40193;0;0;TQCB;Т+: Облигации - безадрес.;11.10.2023;;10.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;117,087;1170,87;;2341,74;;2341,74;;2341,74;100,0;;;;;;
RU000A100X36;СберИОС156;СберИОС 001Р-156R 5Y ТКОМ 11%;Биржевые облигации;RU000A100X36;4B0215701481B001P;3;1000,0;RUB;2999398;0;0;TQCB;Т+: Облигации - безадрес.;07.11.2024;;31.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;89,98;899,8;;1799,6;;1799,6;;1799,6;100,0;;;;;;
RU000A100X51;СберИОС159;СберИОС 001Р-159R 2Y KIDS 4.5%;Биржевые облигации;RU000A100X51;4B0215401481B001P;3;1000,0;RUB;980758;0;0;TQCB;Т+: Облигации - безадрес.;08.11.2021;;31.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;98,409;984,09;;1968,18;;1968,18;;1968,18;100,0;;;;;;
RU000A100X69;РенСтр1P1;Ренессанс Страхование 001P-01R;Биржевые облигации;RU000A100X69;4B02-01-10601-Z-001P;3;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;07.10.2022;;11.10.2019;0;0;0;8,12;;;;;"Акционерное общество ""Группа Ренессанс Страхование""";7725497022;1;100,591;1040,18;;2080,36;;2080,36;;2080,36;100,0;;;;;;
RU000A100X77;КЕБ БО1Р03;Кредит Европа Банк АО 001Р-03;Биржевые облигации;RU000A100X77;4B020303311B001P;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;07.10.2022;;11.10.2019;0;0;0;7,9;;;;;"Акционерное общество ""Кредит Европа Банк (Россия)""";7705148464;1;102,128;1033,12;;2066,24;;2066,24;;2066,24;100,0;;;;;;
RU000A100XA6;СберИОС143;СберИОС 001Р-143R 42M CDX 100%;Биржевые облигации;RU000A100XA6;4B0214501481B001P;3;1000,0;RUB;977768;0;0;TQCB;Т+: Облигации - безадрес.;24.04.2023;;15.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;105,889;1058,89;;2117,78;;2117,78;;2117,78;100,0;;;;;;
RU000A100XB4;СберИОС145;СберИОС001Р-145R 4.5Y O.G.100%;Биржевые облигации;RU000A100XB4;4B0214401481B001P;3;1000,0;RUB;341320;0;0;TQCB;Т+: Облигации - безадрес.;15.04.2024;;15.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;121,587;1215,87;;2431,74;;2431,74;;2431,74;100,0;;;;;;
RU000A100XC2;Полюс Б1P1;Полюс ПБО-01;Биржевые облигации;RU000A100XC2;4B02-01-55192-E-001P;1;1000,0;RUB;20000000;0;0;TQCB;Т+: Облигации - безадрес.;01.10.2029;;14.10.2019;0;0;0;6,22;;;;;"Публичное акционерное общество ""Полюс""";7703389295;1;103,989;1067,46;907,341;1227,579;875,317;1259,603;843,293;1291,627;15,0;400000;18,0;2000000;21,0;;
RU000A100XP4;МосОбл2019;МЭФ Московской области 2019;Региональные облигации;RU000A100XP4;RU34012MOO0;1;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;08.10.2024;;15.10.2019;0;0;0;5,93;;;;;Министерство экономики и финансов Московской области;5000001451;1;102,629;1034,79;889,919;1179,661;858,876;1210,704;827,832;1241,748;14,0;500000;17,0;2500000;20,0;;
RU000A100XR0;ПИК К 1P1;ПИК-Корпорация 001Р-01;Биржевые облигации;RU000A100XR0;4B02-01-00464-R-001P;3;773,2;RUB;1500000;0;0;TQCB;Т+: Облигации - безадрес.;12.04.2023;;16.10.2019;0;0;0;;;;;;"Общество с ограниченной ответственностью ""ПИК-Корпорация""";7703255661;1;99,029;782,012;;1564,024;;1564,024;;1564,024;100,0;;;;;;
RU000A100XU4;РЕСОЛизБП7;РЕСО-Лизинг ООО БО-П-07;Биржевые облигации;RU000A100XU4;4B02-07-36419-R-001P;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;11.10.2024;;18.10.2019;0;0;0;7,07;;;;;"Общество с ограниченной ответственностью ""РЕСО-Лизинг""";7709431786;1;105,368;1084,96;933,066;1236,854;900,517;1269,403;867,968;1301,952;14,0;100000;17,0;500000;20,0;;
RU000A100Y50;СУЭК-Ф1P4R;СУЭК-Финанс 001Р-04R;Биржевые облигации;RU000A100Y50;4B02-04-36393-R-001P;3;1000,0;RUB;20000000;0;0;TQCB;Т+: Облигации - безадрес.;08.10.2029;;21.10.2019;0;0;0;6,75;;;;;"Общество с ограниченной ответственностью ""СУЭК-Финанс""";7709851798;1;101,779;1043,94;887,349;1200,531;856,031;1231,849;824,713;1263,167;15,0;400000;18,0;2000000;21,0;;
RU000A100Y84;БелОб34013;Белгородская область 34013 обл;Региональные облигации;RU000A100Y84;RU34013BEL0;1;1000,0;RUB;2000000;0;0;TQCB;Т+: Облигации - безадрес.;15.10.2024;;22.10.2019;0;0;0;;;;;;Правительство Белгородской области;3124016792;1;102,278;1029,88;;2059,76;;2059,76;;2059,76;100,0;;;;;;
RU000A100YB2;СберИОС160;СберИОС 001Р-160R 5Y ENTM 12;Биржевые облигации;RU000A100YB2;4B0215801481B001P;3;1000,0;RUB;4330359;0;0;TQCB;Т+: Облигации - безадрес.;07.11.2024;;31.10.2019;0;0;0;;;;;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;96,39;963,9;;1927,8;;1927,8;;1927,8;100,0;;;;;;
